FilePath,DebugSize,ImageVersion,IatRVA,ExportSize,ResourceSize,VirtualSize2,NumberOfSections,CheckSum,DLLCharacteristics,SizeOfInitializedData,SizeOfStackReserve,Label
evntcmd.exe,28,6.1,17028,0,2280,1296,4,79438,33088,5632,262144,clean
evntwin.exe,28,6.1,77780,0,6632,2932,4,94843,33088,16896,262144,clean
expand.exe,28,6.1,41872,0,6408,7992,4,104824,33088,18944,262144,clean
explorer.exe,56,6.1,704696,0,1846920,12240,4,2648680,32832,1897472,262144,clean
ExtExport.exe,28,6.3,28964,0,2072,1728,5,42859,33088,9216,262144,clean
extrac32.exe,28,6.1,48236,0,2344,6428,4,101619,33088,11776,262144,clean
fc.exe,28,6.1,15404,0,2024,920,4,38236,33088,4096,262144,clean
find.exe,56,6.1,9744,0,2032,880,4,68214,33088,3584,262144,clean
FindLinks.exe,28,0.0,80364,0,1244,13156,4,164303,32768,29696,1048576,clean
findstr.exe,56,6.1,22412,0,2056,36504,4,85971,33088,40960,262144,clean
finger.exe,28,6.1,7732,0,2080,1412,4,71475,33088,5120,262144,clean
fixmapi.exe,28,6.1,11036,0,2040,51,5,24652,33088,4096,262144,clean
FlashPlayerApp.exe,28,0.0,615412,0,93808,455064,5,828177,33088,612864,1048576,clean
FlickLearningWizard.exe,28,6.1,109940,0,778272,2700,4,919547,33088,792064,262144,clean
fltMC.exe,28,6.1,15652,0,2056,1444,4,46079,33088,5120,262144,clean
fontview.exe,28,6.1,18500,0,82312,3896,4,111933,33088,88576,262144,clean
forcedos.exe,28,5.1,6300,0,2296,3352,3,41812,32768,6144,262144,clean
forfiles.exe,28,6.1,37676,0,2128,1296,4,88026,33088,6656,262144,clean
FreeCell.exe,28,6.1,533948,0,113976,54852,4,766544,33088,203264,262144,clean
fsquirt.exe,28,6.1,39700,0,175584,1084,4,272847,33088,179712,262144,clean
fsutil.exe,28,6.1,65652,0,2024,2348,4,85959,33088,8192,262144,clean
ftp.exe,28,6.1,35204,0,1984,20888,4,107858,33088,27136,262144,clean
fusagent.exe,28,6.3,90584,0,2200,11908,5,140434,49472,22016,262144,clean
FUSLOGVW.exe,56,10.0,176716,0,1644,24004,5,245865,33088,30720,1048576,clean
fussvc.exe,28,6.3,135920,0,8088,12548,5,189527,49472,31744,262144,clean
fvenotify.exe,28,6.1,19908,1580,91024,932,4,117511,33088,93696,262144,clean
fveprompt.exe,28,6.1,11676,1580,90984,900,4,128631,33088,93184,262144,clean
fveupdate.exe,28,6.1,11140,0,2168,900,4,36529,33088,4608,262144,clean
FXSCOVER.exe,28,6.1,147668,0,12648,12968,4,199043,33088,41984,262144,clean
FXSSVC.exe,28,6.1,467020,0,3008,14092,4,538810,33088,52224,1048576,clean
FXSUNATD.exe,28,6.1,13964,0,2040,1476,4,42407,33088,8192,262144,clean
gacutil.exe,56,10.0,110948,0,1868,16152,5,192973,33088,26112,1048576,clean
gc.exe,28,6.3,74072,0,992,10500,5,94846,49472,17408,262144,clean
GDFMaker.exe,28,0.0,359880,0,27312,27312,3,430504,34144,28160,1048576,clean
getmac.exe,28,6.1,58044,0,2056,1272,4,99457,33088,7168,262144,clean
GettingStarted.exe,28,6.1,8276,0,2272,900,4,25032,33088,4096,262144,clean
gflags.exe,28,6.3,90540,0,23520,13148,5,167799,49472,44032,1048576,clean
gpresult.exe,28,6.1,117532,0,2056,1280,4,138190,33088,9728,262144,clean
gpscript.exe,28,6.1,20516,0,1792,1192,4,48793,33088,5632,262144,clean
gpup.exe,28,0.0,254852,0,2332,45196,5,336604,33088,69120,1048576,clean
gpupdate.exe,28,6.1,12860,0,2088,3040,4,58319,33088,7680,262144,clean
GPUView.exe,28,6.3,378032,0,45528,13432,5,479456,49472,92160,262144,clean
grpconv.exe,28,6.1,11404,0,3840,920,4,56771,33088,6144,262144,clean
GUP.exe,28,0.0,117976,0,1988,17994,4,165443,0,32768,1048576,clean
handle.exe,56,0.0,208404,0,314112,39444,4,555064,33024,422912,1048576,clean
hdwwiz.exe,28,6.1,10068,0,52720,1068,4,67344,33088,56832,262144,clean
Hearts.exe,28,6.1,557948,0,84952,55572,4,723920,33088,176128,262144,clean
help.exe,28,6.1,7588,0,2024,896,4,52664,33088,3584,262144,clean
HelpPane.exe,56,6.1,364280,0,94192,12006,4,559388,33088,128000,262144,clean
